RecordTime,ÑÓ³Ù´ÎÊý(´Î),extra,SimpleTime
1669278205961,0.0,sg.partying.android.lite,522.485
1669278206961,0.0,sg.partying.android.lite,523.485
1669278207961,0.0,sg.partying.android.lite,524.485
1669278208963,1.0,sg.partying.android.lite,525.487
1669278209966,1.0,sg.partying.android.lite,526.49
1669278210966,1.0,sg.partying.android.lite,527.49
1669278211966,0.0,sg.partying.android.lite,528.49
1669278212967,1.0,sg.partying.android.lite,529.491
1669278213970,0.0,sg.partying.android.lite,530.494
1669278214969,0.0,sg.partying.android.lite,531.493
1669278215969,0.0,sg.partying.android.lite,532.493
1669278216972,0.0,sg.partying.android.lite,533.496
1669278217973,0.0,sg.partying.android.lite,534.497
1669278218973,0.0,sg.partying.android.lite,535.497
1669278219974,2.0,sg.partying.android.lite,536.498
1669278220974,0.0,sg.partying.android.lite,537.498
1669278221975,2.0,sg.partying.android.lite,538.499
1669278222975,0.0,sg.partying.android.lite,539.499
1669278223977,2.0,sg.partying.android.lite,540.501
1669278224977,0.0,sg.partying.android.lite,541.501
1669278225978,0.0,sg.partying.android.lite,542.502
1669278226981,0.0,sg.partying.android.lite,543.505
1669278227983,0.0,sg.partying.android.lite,544.507
1669278228982,0.0,sg.partying.android.lite,545.506
1669278229982,0.0,sg.partying.android.lite,546.506
1669278230982,0.0,sg.partying.android.lite,547.506
